nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirtsPartyWinner,Acc_IssueArea
13,3.0258491110854564,17,17,0.18925429773305227,0.08749621556161066,0.05964274901604602
14,2.866084140620809,17,17,0.2535908753279697,0.08689070541931578,0.06145927944293067
15,2.8390004102925412,17,17,0.264082339233036,0.08689070541931578,0.05994550408719346
16,2.8012662487166846,17,17,0.2638134739435616,0.08386315470784135,0.05964274901604602
17,2.705679560527333,17,17,0.24161633810979014,0.08386315470784135,0.05933999394489858
18,2.6688479555094187,17,17,0.2345876128879885,0.08386315470784135,0.05933999394489858
19,2.640674305996381,17,17,0.2215415289753929,0.08386315470784135,0.03633060853769301
2,1.27339288335066,2,22,0.17201465770448437,0.4898577051165607,0.11807447774750227
3,1.1837684801142827,2,22,0.22017415574241453,0.4462609748713291,0.11534968210717529
4,0.872422245890945,2,22,0.3691631103245318,0.283075991522858,0.11837723281864972
5,0.683786258205981,2,22,0.35338073994194574,0.26824099303663335,0.11413866182258553
6,0.6670850978705904,2,22,0.41554342905790476,0.23130487435664548,0.10414774447471996
7,0.6502786102046655,2,22,0.4080913388466317,0.23130487435664548,0.1095973357553739
8,0.6020731896630129,2,22,0.39577655999946887,0.21646987587042082,0.11444141689373297
9,0.5917750935966155,2,22,0.38485242545683107,0.21646987587042082,0.10990009082652134
10,0.5784089350194908,2,22,0.3783930065319211,0.21646987587042082,0.10626702997275204
11,0.5541276747771847,2,22,0.37325525063182785,0.21646987587042082,0.11232213139570088
12,0.49126835428832755,2,22,0.3269021018614327,0.2161671207992734,0.15440508628519528
13,0.45449851313890677,2,22,0.2965986615777627,0.13745080230093853,0.14834998486224643
14,0.41679384368200456,2,22,0.2925757196261238,0.13745080230093853,0.14683620950650925
15,0.3958626412850845,2,22,0.3026937500375154,0.07235846200423857,0.055404178019981834
16,0.3926220952760948,2,22,0.30251357289728364,0.07235846200423857,0.055404178019981834
17,0.3815999270830404,2,22,0.29780820057806895,0.07235846200423857,0.055404178019981834
18,0.36727921006287845,2,22,0.29951641465451345,0.07235846200423857,0.05449591280653951
19,0.3539737294749403,2,22,0.29898453138565095,0.07235846200423857,0.05449591280653951
2,2.9860489443393092,7,22,0.16769855233672637,0.5610051468362095,0.06721162579473206
3,2.9694925392051275,7,22,0.15363643461597568,0.4768392370572207,0.06478958522555253
4,2.7337487861049463,7,22,0.17217599904766343,0.44171964880411746,0.09082652134423251
5,2.73142697024739,7,22,0.13150757787303563,0.1522858007871632,0.0566151983045716
6,2.4595993769307447,7,22,0.15232969395390247,0.1335149863760218,0.14925825007568877
7,2.3896030969723627,7,22,0.16690218628193945,0.1335149863760218,0.10112019376324553
8,2.2089123394768415,7,22,0.17635653499419235,0.09748713290947623,0.1298819255222525
9,2.156650667675332,7,22,0.1794506278050282,0.09748713290947623,0.1298819255222525
10,2.115478349581325,7,22,0.22704802119724024,0.09748713290947623,0.15289131092945807
11,2.0256652514823927,7,22,0.21953169181068108,0.08658795034816834,0.03633060853769301
12,2.009424931517787,7,22,0.21337227962798058,0.08658795034816834,0.036027853466545565
13,1.8683329345058388,7,22,0.21387643288280317,0.08658795034816834,0.04147744474719951
14,1.8585269622042833,7,22,0.21036218373432572,0.07932182864062973,0.04056917953375719
15,1.7958748776678448,7,22,0.20233408015696422,0.07932182864062973,0.03875264910687254
16,1.7321759844487075,7,22,0.19981514357515417,0.07932182864062973,0.0384498940357251
17,1.675196338714385,7,22,0.19831777804821196,0.07932182864062973,0.03511958825310324
18,1.6615108099028861,7,22,0.17055077954193887,0.07932182864062973,0.028458976687859523
19,1.6423500986781272,7,22,0.17345481803946944,0.07326672721768089,0.02815622161671208
2,3.855007071540695,12,22,0.03226792930785543,0.6067211625794732,0.055404178019981834
3,3.771591013562392,12,22,0.06452487222788013,0.3693611867998789,0.05722070844686648
4,3.426889886515386,12,22,0.09043669172989563,0.368755676657584,0.0768997880714502
5,3.213372117753991,12,22,0.11482479448796468,0.15440508628519528,0.13926733272782318
6,3.210058049129778,12,22,0.12946955078063,0.15440508628519528,0.061156524371783226
7,3.0888338510415685,12,22,0.14606391485245085,0.1537995761429004,0.05752346351801393
8,3.0786992101125774,12,22,0.142446665537651,0.11837723281864972,0.07750529821374508
9,3.038502515494854,12,22,0.1576799951823127,0.11837723281864972,0.0660006055101423
10,2.856940514497099,12,22,0.1812244328381,0.11837723281864972,0.05328489252194974
11,2.8504045522910317,12,22,0.2177033250993642,0.11837723281864972,0.07568876778686043
12,2.791264149070966,12,22,0.22124125267446104,0.06993642143505904,0.05389040266424463
13,2.739225218042024,12,22,0.2064967273741086,0.06993642143505904,0.05207387223735998
14,2.623532776175058,12,22,0.19541237445704795,0.06993642143505904,0.06448683015440508
15,2.616753056554294,12,22,0.183560365214614,0.06993642143505904,0.06327580986981532
16,2.614896846848753,12,22,0.1945463965312184,0.05631244323342416,0.061762034514078114
