tree1,tree2,dist
181,2106,0.00038786896424248055
969,3419,0.0003882041374333612
1651,2045,0.0003883590901335686
847,2672,0.0003892857701746355
1633,2404,0.00038982909697848206
396,2266,0.00038985159266849423
2353,2366,0.000390496486939099
126,2870,0.0003910666792682361
1210,1679,0.0003921633249344518
54,1496,0.000392763988899412
201,2603,0.0003936657461276957
1477,2068,0.0003962727589846785
3553,2377,0.0003963329629745188
1430,2857,0.00039824259502705545
3384,1016,0.00039831481477481563
230,778,0.00039861262817979335
3,1346,0.00039878008352815277
3528,1304,0.0004001573311843143
1347,2536,0.0004008774886533027
3450,2947,0.0004011877868695581
2425,3000,0.0004015371639842658
1318,3235,0.00040183451464374104
1632,2295,0.00040264615873754697
530,2474,0.00040310908965778686
3402,1572,0.00040354598504376005
239,1198,0.00040373262349963947
748,2802,0.000403926335575509
1094,2737,0.00040408864163390956
1121,2230,0.0004045490181129423
223,1924,0.0004045565776522389
3486,3151,0.00040638217604085924
439,1569,0.0004068360931777544
658,2881,0.0004068595800014738
2488,2928,0.0004069500783649149
397,657,0.00040780224464372766
1441,2271,0.0004110451930650211
1175,3133,0.0004120637440916137
2852,3004,0.00041218095519071976
732,2442,0.0004124630529702758
265,282,0.0004129963704746116
402,2269,0.0004143171689242708
640,1099,0.0004171905566128075
3429,1568,0.0004182487130096179
435,1566,0.0004185055580846267
292,2437,0.00041987897651137723
1543,2834,0.0004206842615959612
29,823,0.00042156563069852167
2097,2422,0.0004223161608243667
2226,2272,0.0004223657847749994
171,3099,0.000422534009372498
1968,2142,0.00042257460205011657
483,2018,0.00042360282004999875
26,1233,0.00042380548804973363
19,3274,0.000425568839654257
3441,2604,0.00042578976740008725
268,1715,0.00042692949102435956
137,856,0.0004270102791243801
407,3375,0.00042808562369854065
12,442,0.00042865018510296685
167,3464,0.0004289235758686803
3452,2518,0.00042987052795537446
1220,2363,0.00043001073789240146
1174,2159,0.00043008173792987575
1008,3254,0.0004301033800939106
393,3040,0.0004319198486954813
2959,3116,0.00043534859552620334
3502,725,0.00043578803775564876
2373,2583,0.00043671485111059123
1086,3016,0.00043777888340834625
1046,1225,0.0004381130125757776
980,3058,0.0004401564892024916
3366,2371,0.0004401607073328054
135,3507,0.00044054781566161237
1195,2000,0.00044083189856027397
3651,1180,0.00044087953925663406
3563,2306,0.0004413379392733535
3569,3447,0.0004414387171001021
45,3519,0.00044154019645003054
2003,2920,0.00044170835412386464
2177,2722,0.00044171871388058725
3392,893,0.00044191910975997784
737,1859,0.0004422613707639779
1704,3209,0.0004426971071349872
3395,2850,0.00044376777117688393
2011,2671,0.0004449138805484171
3444,2415,0.00044500202168602527
531,2273,0.0004457946431298404
3469,1546,0.00044591825176625716
1075,2234,0.0004465071711105481
841,3523,0.0004470714087564803
333,2303,0.000447283153527666
1785,1927,0.00044735966561514073
378,1778,0.0004480565643100558
734,2348,0.00044807802855541257
542,1022,0.000451601358089828
1445,1865,0.00045212074348255707
290,494,0.000452325548256036
419,2149,0.0004542201929373076
609,2060,0.00045435046662033185
2470,3087,0.00045483864315351563
1343,2472,0.000457063027249318
31,1944,0.00045803441620539606
196,2173,0.0004622638709511299
113,674,0.0004636214307348341
3501,1806,0.00046471133272230243
219,2706,0.00046523680349673524
2229,2657,0.00046557220258187405
515,1506,0.00046713886899029874
3562,1818,0.0004675161483297871
2644,3109,0.0004685616949880178
1928,3293,0.0004704934375788332
1846,2180,0.00047063243456806417
1558,2919,0.0004713661127363558
3580,1114,0.0004716963502695466
785,3122,0.0004754987922427033
3319,3387,0.00047732168387400534
773,1549,0.00047790081648826227
896,2063,0.00047816012402182237
637,747,0.0004787878983238819
3416,3360,0.00047894750034560216
3439,3249,0.00047990445846931434
296,455,0.0004804956301919395
89,2501,0.00048198811956100436
1712,3071,0.00048369025072973054
1967,2987,0.0004837028698476062
541,3595,0.0004841295418867072
1287,1946,0.00048534612727872337
3495,3442,0.00048560760389401887
982,1896,0.00048587955702248525
3371,789,0.00048807366487233286
381,3497,0.0004888329723673757
560,1666,0.0004895414433697138
1360,2127,0.0004900132583355813
11,2835,0.0004900340611489803
3715,3394,0.0004909240602434719
234,294,0.000491243127874609
1223,2338,0.0004917148730241676
1009,3101,0.0004917877539608109
1044,2020,0.000492442850252451
317,1254,0.0004963042176845556
1362,3296,0.000497255037803096
696,3492,0.0004973604272674945
217,2955,0.0004978391609524492
27,1801,0.000498173012106409
787,997,0.0004994060030414993
1309,1733,0.0004996703068565408
1433,2817,0.0005006481569868951
1583,2408,0.0005016070019741928
145,741,0.0005017116607965375
273,1782,0.0005019564771217531
443,806,0.0005033282729496463
1727,1894,0.0005039299960414717
793,2995,0.000505906369828623
668,2953,0.0005060222214919924
309,2398,0.0005063863648682495
3555,1909,0.0005064706149023445
1533,2080,0.0005070117291386851
3471,2906,0.0005088079991810227
3680,810,0.0005088122134610301
2178,3281,0.0005089644192928511
1710,1776,0.0005095571046738736
600,2291,0.0005106535171250665
33,2389,0.000510759283819542
3765,3373,0.0005117998668274833
131,2010,0.000512115322824365
1706,2559,0.0005122608470596104
3418,3212,0.0005123456855422922
697,3123,0.0005128406889890989
1977,3237,0.0005140282920226454
2190,3041,0.0005140975638238503
2053,2459,0.0005162512152965815
1059,2873,0.0005204918018048548
594,3734,0.0005207536177630687
3712,2789,0.0005220268914257475
101,2582,0.0005222630613112914
3303,2841,0.0005238404898424663
2396,2431,0.000524631153425258
1514,2558,0.0005268151317089145
1470,3682,0.000529350037891986
803,2699,0.0005317439367972035
112,1414,0.0005323736441010009
2561,2680,0.000534075299878603
2301,3115,0.0005383355031866356
1288,2824,0.0005384097829588541
2386,2845,0.0005384866565029366
1432,3140,0.0005397957921264712
3619,3481,0.0005403179909555349
3417,3216,0.0005406959545592102
3742,1797,0.0005407099001834767
1547,3508,0.0005425138913079559
8,466,0.0005438143554526509
1725,1906,0.0005474585038571546
932,1849,0.0005503639869409646
629,1014,0.0005507311022968642
848,1366,0.0005518352597483588
1070,3097,0.0005523124582159679
3377,2098,0.0005531606760608345
1106,2836,0.0005534833713101046
48,3457,0.0005545389120136194
2379,3593,0.0005553846852470873
2140,2252,0.0005557703626058001
3479,1803,0.0005558304608901943
2174,2742,0.0005567447178994097
3652,2820,0.000557061173036286
395,3564,0.0005586281586900353
3697,1738,0.0005590207898827568
1451,2205,0.0005597243209578551
3425,2507,0.0005599307361748157
227,1689,0.0005628695630671369
690,3352,0.000563944037137951
189,3532,0.0005666629707265936
667,2567,0.0005672233452874466
1589,2486,0.0005675740477412636
701,2095,0.0005679786318741392
2616,2950,0.0005693612427026609
117,2527,0.0005706117719661077
727,2070,0.0005710142875419294
1335,1708,0.000574513470796437
3573,2211,0.0005758073201699576
1221,2328,0.0005763448594648096
956,2457,0.0005794014247033838
3542,3466,0.0005820155293638652
2116,3229,0.0005832634490525318
2196,2426,0.0005832734105305631
81,3748,0.0005834751169612028
3517,1365,0.0005849646921585478
1271,2712,0.0005851321001727229
3588,3322,0.0005864745064492194
1736,1965,0.0005867254447432663
412,3629,0.0005882158278369791
3348,3489,0.0005885645161574082
3671,3342,0.0005885713511333667
207,1524,0.0005886361863932429
536,1863,0.000591493242988109
1228,2553,0.0005921083859132432
1642,2293,0.0005924957323798063
1640,2808,0.0005928868227370668
3511,1827,0.0005932854361737159
3770,1922,0.0005937648809498791
2461,3214,0.0005939249523714725
3757,1132,0.000595878429802639
1069,3568,0.0005966897385770095
3639,1805,0.0005989122921699654
711,3880,0.0005992397551625728
3664,3326,0.0005995148232250825
180,3253,0.0005996599703246858
1492,2708,0.0006021319213265763
3413,3288,0.000602321767877341
3616,1345,0.0006026555501355974
1118,2823,0.0006028117028338761
3603,2316,0.0006057549438036047
1512,2362,0.0006074434811230642
662,3369,0.0006075402135375038
947,1786,0.000608514796284031
3805,3401,0.0006100408544608207
1809,2015,0.000610347996918505
1108,3224,0.0006113502118455759
3521,2359,0.0006121978161985689
1038,2102,0.0006142364187167945
293,3359,0.0006144237317577631
628,1509,0.0006161950174097125
2367,2655,0.0006173889914323286
3596,1667,0.0006190227867302854
3565,1058,0.0006203470989845673
1363,1695,0.0006208102326645953
456,3506,0.0006213800767007789
3390,3707,0.0006218217381878544
3512,1209,0.0006219549189057524
338,2769,0.0006221038547980021
148,1788,0.0006224475158475434
564,2420,0.0006224787772343178
354,2617,0.0006234554225975526
1482,3754,0.0006248239480207834
2123,2985,0.0006261207588168331
1435,3008,0.0006265735994216912
405,2758,0.0006267797859794769
945,2222,0.0006283392091799532
1141,1716,0.0006290603227875682
65,1126,0.0006296791615817421
3415,2283,0.0006304033085434962
3674,3201,0.0006304555766414397
517,1302,0.000631458674038441
2785,3215,0.0006323650372209201
3484,1398,0.0006356139817471447
3488,3516,0.0006378346064585972
86,184,0.0006382669837920324
3636,2931,0.0006389474743496056
901,2134,0.0006413078457834856
1383,3172,0.0006416238503412072
626,2494,0.0006431479908084181
716,3607,0.0006438757787007275
3544,974,0.000644109020586054
913,2321,0.0006452249982799689
618,1390,0.0006454360940663893
3404,2182,0.000645903925940456
41,3024,0.0006460142697376978
118,2837,0.0006470363399438614
3378,3578,0.000647560451447763
3534,3585,0.0006476176329065844
1438,2508,0.0006477390292151611
3945,3346,0.0006479974950981057
2,729,0.0006488922115517907
182,1994,0.000649186211641584
549,3015,0.0006495809657702523
1867,1868,0.0006510425308716115
82,3611,0.0006511234131197224
687,2893,0.0006523830924241095
1336,3275,0.0006527834324412743
3718,3558,0.0006529398184469109
3556,3717,0.0006538019396509706
3792,1356,0.000653927858485611
3704,3385,0.000654501195044753
4,2533,0.0006548515031074096
790,3554,0.0006554358848953473
2189,2864,0.0006569912431317916
3581,1409,0.0006591705908927294
1490,2019,0.0006613974192620949
3638,1622,0.0006636119606796935
888,1251,0.0006636307620939558
496,2469,0.0006638354298226044
123,1473,0.000666591206913987
1137,3907,0.0006680631812858509
3463,3655,0.0006681874789935035
473,1580,0.00066832867619461
3864,1190,0.0006688971060859958
3396,3681,0.0006699926937989414
2276,2530,0.0006715144978037789
323,1956,0.000671643735124381
291,3496,0.0006718636949004913
188,983,0.0006725022849343107
1779,1790,0.0006733424345127838
3802,2819,0.0006742878023174945
481,3430,0.0006752581960196378
3642,3576,0.0006766157032846547
1328,2483,0.0006772795587480854
509,2952,0.0006802742099737899
3490,3325,0.0006807734115692118
3459,2988,0.0006811351095567866
1267,1744,0.0006813168313277163
3938,1964,0.0006816418642619573
922,2383,0.0006816905574358982
434,2623,0.0006818307762448961
233,3485,0.0006818668959309923
218,474,0.0006819483946656265
602,2350,0.0006826969832719812
1672,2317,0.0006831703829195289
50,708,0.000683447892101955
1185,1913,0.0006850796039835558
3609,2493,0.0006856176605425576
2156,2941,0.0006857648363111923
3621,2872,0.0006857980681185217
3487,2165,0.0006859329727117664
3890,3510,0.000686091009898273
2166,2674,0.0006862407437853964
3435,3672,0.0006879941003283541
1443,1854,0.000689154311586445
1388,2669,0.0006906257893653164
3745,724,0.0006906506294608108
951,1577,0.0006917445796705141
107,2768,0.00069228999270937
301,1246,0.0006926387352980141
1594,2305,0.0006929731690398754
754,3527,0.000695098892361766
3308,2807,0.0006958831666963143
1048,1703,0.0006976488587747062
1285,2596,0.0006979864486590728
3428,1802,0.0006981097692166267
495,556,0.0006997547182950824
619,1105,0.0007003001944870611
72,811,0.0007019464298438638
3821,3048,0.0007020635440732233
1665,2640,0.0007021266264996655
78,1561,0.0007026268512711209
364,3683,0.0007045813978671656
3427,723,0.0007049202106366205
694,2759,0.0007068556779566484
105,1884,0.0007077023925353421
3602,1100,0.0007078605818257519
1767,1830,0.0007098539143396768
3548,3624,0.0007099514075527055
634,1163,0.0007137025154898106
270,2282,0.0007146478616206469
260,2548,0.0007151010094417279
3599,3695,0.000716597380119163
3746,3571,0.0007168375554700724
53,3811,0.0007168921767324032
1007,3143,0.0007172941535287559
661,1476,0.0007189074811592196
851,3610,0.0007192529787830165
3832,178,0.0007195760967720309
1133,2797,0.0007212081080035706
647,1461,0.0007216703703990836
1101,2411,0.0007226392725613283
1283,3177,0.0007232445288979754
3634,3340,0.0007247213750130321
3852,652,0.0007260119818391468
1057,1452,0.0007261203086626547
79,2804,0.0007286374274601548
936,2821,0.0007287775352189801
2574,2721,0.0007301868714981122
1292,2349,0.0007311750922965807
2407,3279,0.0007316544273653081
221,735,0.0007339009279708555
3520,2764,0.0007344128341586365
154,447,0.0007346905086202671
3829,3531,0.0007360065795649854
532,622,0.0007377798974598226
2167,2714,0.0007418905843654677
3559,3774,0.0007435744800881701
2861,3269,0.0007449516951757752
1253,2285,0.0007449916957709898
1031,3530,0.0007451345889444589
3498,3440,0.0007460071140781115
3493,2813,0.0007461770888397227
2414,2924,0.0007480915091834725
1424,3722,0.0007518112383486618
3635,2441,0.0007536153907492758
998,1919,0.0007543117394163343
3579,2702,0.0007547515520362515
3627,3663,0.0007552791817370032
3994,3380,0.0007558980528290411
106,2755,0.0007559341977534002
136,3139,0.0007566411843003204
949,2267,0.0007581562993976693
3388,3509,0.0007595930679545112
3645,1462,0.0007616451896797606
143,1839,0.0007625502427618946
1995,2390,0.0007665561577738685
373,2089,0.0007666252888991155
3478,3454,0.0007667132857235755
3622,2849,0.0007667724201683157
3460,2681,0.0007673624763259584
3632,1369,0.0007700007936154094
3710,3462,0.0007701606945506798
3893,3784,0.0007705136007303826
1954,2799,0.0007706635321296836
1421,2691,0.0007737736678291376
590,3187,0.0007760681344274253
2233,3410,0.0007767814615691725
3660,3560,0.0007791970054734001
